date,holiday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016-01-01,1,1420.0,1369.0,1310.0,1199.0,1176.0,1177.0,1173.0,1225.0,1284.0,1361.0,1452.0,1504.0,1533.0,1555.0,1579.0,1609.0,1721.0,1822.0,1801.0,1708.0,1605.0,1506.0,1403.0,1315.0
2016-01-02,0,1223.0,1157.0,1142.0,1146.0,1135.0,1171.0,1239.0,1351.0,1500.0,1631.0,1724.0,1755.0,1746.0,1722.0,1739.0,1804.0,1940.0,2079.0,2034.0,1902.0,1776.0,1665.0,1549.0,1459.0
2016-01-03,1,1369.0,1308.0,1267.0,1208.0,1219.0,1266.0,1310.0,1399.0,1513.0,1632.0,1732.0,1785.0,1801.0,1791.0,1755.0,1758.0,1833.0,1928.0,1929.0,1856.0,1715.0,1682.0,1557.0,1428.0
2016-01-04,0,1357.0,1288.0,1256.0,1257.0,1288.0,1403.0,1672.0,1978.0,2114.0,2143.0,2165.0,2125.0,2060.0,2069.0,2074.0,2011.0,2145.0,2327.0,2279.0,2107.0,1937.0,1799.0,1639.0,1470.0
2016-01-05,0,1357.0,1300.0,1284.0,1290.0,1344.0,1457.0,1709.0,1993.0,2112.0,2129.0,2144.0,2137.0,2124.0,2113.0,2101.0,2120.0,2242.0,2391.0,2307.0,2144.0,1969.0,1819.0,1697.0,1532.0
2016-01-06,0,1447.0,1375.0,1339.0,1335.0,1360.0,1478.0,1744.0,2042.0,2159.0,2173.0,2108.0,2063.0,2061.0,2083.0,2061.0,2038.0,2189.0,2369.0,2295.0,2065.0,1918.0,1793.0,1644.0,1544.0
2016-01-07,0,1464.0,1390.0,1373.0,1394.0,1425.0,1505.0,1721.0,1988.0,2103.0,1990.0,1990.0,2035.0,2061.0,1922.0,1903.0,1913.0,2079.0,2250.0,2181.0,2052.0,1916.0,1802.0,1650.0,1493.0
2016-01-08,0,1380.0,1325.0,1302.0,1293.0,1338.0,1430.0,1665.0,1940.0,2042.0,2087.0,2057.0,2029.0,2018.0,2051.0,1996.0,1971.0,2081.0,2205.0,2144.0,1992.0,1854.0,1755.0,1631.0,1482.0
2016-01-09,0,1356.0,1335.0,1288.0,1270.0,1262.0,1279.0,1345.0,1474.0,1625.0,1744.0,1809.0,1818.0,1797.0,1765.0,1752.0,1780.0,1900.0,2058.0,2020.0,1895.0,1771.0,1650.0,1532.0,1437.0
2016-01-10,1,1359.0,1280.0,1244.0,1222.0,1212.0,1238.0,1298.0,1376.0,1506.0,1640.0,1723.0,1774.0,1770.0,1771.0,1763.0,1784.0,1919.0,2108.0,2092.0,1985.0,1841.0,1695.0,1521.0,1397.0
2016-01-11,0,1327.0,1220.0,1197.0,1207.0,1235.0,1359.0,1576.0,1847.0,1932.0,1933.0,1926.0,1918.0,1892.0,1886.0,1886.0,1879.0,1971.0,2117.0,2045.0,1945.0,1809.0,1691.0,1539.0,1389.0
2016-01-12,0,1382.0,1296.0,1256.0,1261.0,1298.0,1412.0,1663.0,1856.0,1915.0,1929.0,1942.0,1945.0,1955.0,1933.0,1879.0,1872.0,1990.0,2151.0,2054.0,1916.0,1793.0,1658.0,1502.0,1346.0
2016-01-13,0,1278.0,1236.0,1215.0,1225.0,1280.0,1413.0,1566.0,1854.0,1978.0,2004.0,1984.0,1924.0,1915.0,1918.0,1898.0,1910.0,2024.0,2200.0,2146.0,2024.0,1892.0,1749.0,1603.0,1447.0
2016-01-14,0,1353.0,1287.0,1256.0,1264.0,1302.0,1416.0,1668.0,1904.0,1987.0,2012.0,2023.0,2001.0,1986.0,1980.0,1942.0,1919.0,2052.0,2237.0,2169.0,2034.0,1908.0,1760.0,1592.0,1448.0
2016-01-15,0,1395.0,1321.0,1298.0,1291.0,1330.0,1448.0,1677.0,1852.0,1948.0,1992.0,2036.0,2041.0,2012.0,1973.0,1959.0,1964.0,2075.0,2232.0,2171.0,2015.0,1888.0,1800.0,1660.0,1553.0
2016-01-16,0,1494.0,1412.0,1376.0,1365.0,1373.0,1405.0,1475.0,1592.0,1734.0,1852.0,1924.0,1939.0,1920.0,1898.0,1879.0,1906.0,2005.0,2168.0,2133.0,1989.0,1864.0,1773.0,1667.0,1550.0
2016-01-17,1,1434.0,1371.0,1341.0,1331.0,1332.0,1344.0,1436.0,1542.0,1651.0,1796.0,1877.0,1870.0,1823.0,1789.0,1782.0,1824.0,1948.0,2133.0,2134.0,2010.0,1865.0,1742.0,1625.0,1508.0
2016-01-18,0,1438.0,1376.0,1343.0,1352.0,1394.0,1513.0,1771.0,2070.0,2191.0,2217.0,2229.0,2106.0,2099.0,2119.0,2110.0,2084.0,2204.0,2391.0,2322.0,2187.0,2048.0,1915.0,1757.0,1585.0
2016-01-19,0,1410.0,1346.0,1312.0,1317.0,1357.0,1481.0,1744.0,2018.0,2131.0,2156.0,2175.0,2167.0,2152.0,2137.0,2110.0,2090.0,2194.0,2357.0,2278.0,2135.0,1997.0,1854.0,1686.0,1520.0
2016-01-20,0,1430.0,1374.0,1343.0,1350.0,1389.0,1505.0,1761.0,2038.0,2150.0,2182.0,2206.0,2178.0,2026.0,2029.0,2032.0,2036.0,2145.0,2310.0,2228.0,2086.0,1953.0,1819.0,1655.0,1482.0
2016-01-21,0,1431.0,1371.0,1337.0,1343.0,1382.0,1501.0,1765.0,2043.0,2151.0,2154.0,2125.0,2124.0,2131.0,2139.0,2122.0,2107.0,2136.0,2310.0,2251.0,2128.0,1991.0,1848.0,1682.0,1559.0
2016-01-22,0,1496.0,1437.0,1396.0,1402.0,1460.0,1563.0,1797.0,2067.0,2149.0,2171.0,2205.0,2188.0,2154.0,2121.0,2041.0,1975.0,2100.0,2311.0,2278.0,2133.0,1979.0,1856.0,1737.0,1600.0
2016-01-23,0,1473.0,1409.0,1362.0,1340.0,1366.0,1388.0,1459.0,1576.0,1706.0,1833.0,1917.0,1930.0,1923.0,1904.0,1867.0,1869.0,1993.0,2188.0,2150.0,2007.0,1877.0,1767.0,1665.0,1562.0
2016-01-24,1,1390.0,1320.0,1286.0,1254.0,1262.0,1287.0,1338.0,1439.0,1566.0,1690.0,1767.0,1801.0,1797.0,1782.0,1770.0,1794.0,1910.0,2092.0,2071.0,1967.0,1832.0,1710.0,1567.0,1430.0
2016-01-25,0,1330.0,1279.0,1265.0,1278.0,1321.0,1438.0,1690.0,1961.0,2065.0,2099.0,2125.0,2121.0,2109.0,2100.0,2078.0,1994.0,2007.0,2187.0,2123.0,1957.0,1820.0,1674.0,1499.0,1356.0
2016-01-26,0,1266.0,1238.0,1234.0,1257.0,1309.0,1427.0,1666.0,1933.0,2035.0,2061.0,2076.0,1998.0,1912.0,1904.0,1888.0,1860.0,1956.0,2154.0,2103.0,1982.0,1858.0,1713.0,1558.0,1384.0
2016-01-27,0,1305.0,1245.0,1214.0,1222.0,1259.0,1375.0,1615.0,1883.0,1991.0,1998.0,2008.0,1990.0,1976.0,1970.0,1943.0,1915.0,1998.0,2178.0,2122.0,1991.0,1839.0,1699.0,1533.0,1394.0
2016-01-28,0,1298.0,1249.0,1229.0,1223.0,1261.0,1364.0,1587.0,1885.0,1971.0,1970.0,1983.0,1962.0,1929.0,1920.0,1884.0,1859.0,1936.0,2118.0,2091.0,1969.0,1835.0,1705.0,1538.0,1388.0
2016-01-29,0,1296.0,1237.0,1209.0,1219.0,1269.0,1379.0,1605.0,1867.0,1989.0,2012.0,2014.0,1995.0,1971.0,1963.0,1926.0,1891.0,1952.0,2102.0,2059.0,1922.0,1780.0,1662.0,1527.0,1417.0
2016-01-30,0,1313.0,1256.0,1206.0,1198.0,1208.0,1248.0,1317.0,1423.0,1540.0,1308.0,1416.0,1452.0,1629.0,1685.0,1642.0,1655.0,1715.0,1939.0,1923.0,1807.0,1688.0,1573.0,1518.0,1445.0
2016-01-31,1,1329.0,1297.0,1266.0,1258.0,1269.0,1296.0,1350.0,1409.0,1519.0,1620.0,1685.0,1714.0,1706.0,1702.0,1696.0,1696.0,1779.0,1998.0,2065.0,1943.0,1781.0,1660.0,1499.0,1382.0
2016-02-01,0,1329.0,1266.0,1235.0,1245.0,1278.0,1365.0,1606.0,1920.0,2022.0,2050.0,2061.0,2052.0,2038.0,2013.0,1977.0,1944.0,2011.0,2215.0,2179.0,2062.0,1936.0,1821.0,1668.0,1442.0
2016-02-02,0,1226.0,1164.0,1161.0,1310.0,1340.0,1430.0,1656.0,1921.0,1996.0,2011.0,2026.0,2021.0,2011.0,2000.0,1978.0,1954.0,2047.0,2224.0,2178.0,2042.0,1888.0,1740.0,1579.0,1443.0
2016-02-03,0,1353.0,1290.0,1281.0,1277.0,1312.0,1414.0,1677.0,1946.0,2020.0,2034.0,2060.0,2037.0,2011.0,1979.0,1953.0,1906.0,1958.0,2196.0,2174.0,2052.0,1901.0,1771.0,1617.0,1467.0
2016-02-04,0,1337.0,1277.0,1281.0,1286.0,1315.0,1419.0,1661.0,1915.0,2001.0,2033.0,2056.0,2022.0,2011.0,2004.0,1983.0,1912.0,1960.0,2129.0,2150.0,2004.0,1846.0,1721.0,1573.0,1428.0
2016-02-05,0,1347.0,1281.0,1250.0,1261.0,1290.0,1399.0,1633.0,1893.0,2012.0,2067.0,2097.0,2022.0,1975.0,1947.0,1910.0,1894.0,1968.0,2150.0,2138.0,1964.0,1782.0,1665.0,1555.0,1434.0
2016-02-06,0,1340.0,1269.0,1234.0,1213.0,1209.0,1232.0,1301.0,1426.0,1548.0,1645.0,1733.0,1750.0,1734.0,1710.0,1708.0,1674.0,1753.0,1931.0,1961.0,1810.0,1684.0,1565.0,1478.0,1381.0
2016-02-07,1,1296.0,1227.0,1181.0,1166.0,1173.0,1198.0,1248.0,1344.0,1462.0,1569.0,1637.0,1653.0,1615.0,1623.0,1609.0,1623.0,1710.0,1900.0,1982.0,1846.0,1673.0,1566.0,1462.0,1329.0
2016-02-08,0,1231.0,1189.0,1168.0,1172.0,1217.0,1341.0,1576.0,1817.0,1929.0,1976.0,1998.0,1987.0,1968.0,1948.0,1911.0,1844.0,1887.0,2068.0,2092.0,1921.0,1787.0,1666.0,1530.0,1377.0
2016-02-09,0,1245.0,1180.0,1154.0,1166.0,1204.0,1324.0,1553.0,1791.0,1901.0,1948.0,1971.0,1960.0,1942.0,1928.0,1901.0,1869.0,1918.0,2088.0,2073.0,1943.0,1790.0,1648.0,1545.0,1389.0
2016-02-10,0,1293.0,1246.0,1232.0,1236.0,1263.0,1372.0,1620.0,1880.0,1986.0,2022.0,2031.0,2002.0,1979.0,1963.0,1933.0,1900.0,1939.0,2101.0,2134.0,1990.0,1832.0,1698.0,1613.0,1445.0
