date,holiday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016-01-01,1,122.29,119.68,117.44,116.18,115.43,117.52,114.61,114.68,113.34,114.83,117.74,120.5,123.11,124.76,128.11,134.31,138.26,142.59,139.38,133.78,131.99,129.31,124.98,121.25
2016-01-02,0,122.88,118.56,112.14,98.41,94.68,96.55,101.4,106.32,117.14,117.29,119.15,120.42,118.41,119.23,120.27,123.63,129.0,130.72,129.6,126.47,123.56,118.11,118.03,114.23
2016-01-03,1,119.3,118.41,117.59,116.32,117.06,118.11,111.77,115.87,117.81,122.06,127.96,133.85,133.85,131.76,131.76,131.32,138.85,142.58,140.72,138.1,134.9,132.21,127.06,117.44
2016-01-04,0,119.08,117.96,116.09,116.17,118.78,125.05,134.37,145.79,152.88,152.88,152.73,150.27,148.1,147.95,148.33,149.89,164.59,212.49,153.25,147.51,142.13,138.03,132.14,127.06
2016-01-05,0,131.92,129.31,128.64,129.23,131.77,133.71,140.28,153.04,168.48,172.58,173.18,163.48,158.86,156.54,156.92,172.88,231.16,258.39,180.42,155.42,148.41,144.68,139.75,134.08
2016-01-06,0,149.38,146.47,144.23,144.38,145.57,147.81,152.96,164.6,187.95,210.71,260.92,283.16,278.83,273.16,221.97,268.91,308.0,335.39,346.65,320.02,185.56,164.6,152.73,144.53
2016-01-07,0,168.67,162.26,160.39,160.54,162.85,180.53,201.94,539.06,745.48,593.82,558.83,457.82,446.93,461.4,445.29,488.03,745.55,728.02,521.68,277.44,238.27,192.99,160.76,151.14
2016-01-08,0,157.09,150.37,147.54,148.14,150.45,154.63,164.25,223.1,321.93,326.03,323.94,275.61,240.7,199.75,205.87,239.28,283.96,344.31,350.35,299.03,213.1,187.15,181.4,169.02
2016-01-09,0,182.82,174.84,169.99,167.75,163.8,165.96,167.01,171.33,178.64,184.24,197.59,200.87,196.32,188.86,185.36,194.9,222.05,269.27,207.88,183.72,172.53,168.35,164.62,158.58
2016-01-10,1,159.03,148.67,146.58,144.94,143.59,144.64,144.19,145.98,145.38,150.31,156.27,161.05,162.84,159.11,158.29,163.96,178.43,193.65,185.89,181.56,177.46,171.86,166.64,161.79
