date,holiday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020-01-01,1,1303.0,1542.0,1793.0,2116.0,2310.0,2429.0,2412.0,2387.0,2549.0,2735.0,2818.0,2968.0,2949.0,2760.0,2699.0,2729.0,2743.0,2700.0,2577.0,2528.0,2502.0,2455.0,2607.0,2589.0
2020-01-02,0,2561.0,2518.0,2595.0,2690.0,2777.0,2903.0,3106.0,3220.0,3281.0,3341.0,3371.0,3328.0,3206.0,3167.0,3174.0,3267.0,3483.0,3616.0,3715.0,3750.0,3810.0,3425.0,3198.0,3163.0
2020-01-03,0,3101.0,3144.0,3084.0,2980.0,2945.0,2824.0,2486.0,2336.0,2213.0,1775.0,1411.0,1271.0,1299.0,1417.0,1301.0,1362.0,1855.0,2026.0,2343.0,2738.0,2716.0,2938.0,2927.0,2776.0
2020-01-04,0,2484.0,2676.0,2748.0,2734.0,2491.0,2376.0,2652.0,2847.0,3277.0,3280.0,3429.0,3397.0,3325.0,3404.0,3439.0,3502.0,3163.0,2831.0,2498.0,2324.0,1898.0,1541.0,1059.0,759.0
2020-01-05,1,582.0,481.0,400.0,435.0,568.0,734.0,824.0,984.0,1223.0,1427.0,1717.0,1978.0,2181.0,2419.0,2517.0,2463.0,2431.0,2436.0,2440.0,2528.0,2476.0,2615.0,2177.0,2122.0
2020-01-06,0,1772.0,1861.0,1834.0,1716.0,1632.0,1414.0,1372.0,1418.0,1534.0,1701.0,1817.0,1855.0,1861.0,1886.0,1961.0,2048.0,2099.0,2170.0,2331.0,2446.0,2539.0,2178.0,2231.0,2384.0
2020-01-07,0,2192.0,2048.0,2024.0,1885.0,1692.0,1580.0,1526.0,1592.0,1337.0,1083.0,900.0,881.0,1117.0,1585.0,2145.0,2528.0,2840.0,2538.0,2863.0,3402.0,3645.0,3579.0,3527.0,3577.0
2020-01-08,0,3256.0,3500.0,3597.0,3536.0,3474.0,3138.0,3097.0,3049.0,3247.0,2612.0,2415.0,2499.0,2486.0,2771.0,2715.0,2573.0,2318.0,2254.0,2209.0,2078.0,1986.0,1930.0,1670.0,1431.0
2020-01-09,0,1319.0,1097.0,854.0,733.0,617.0,548.0,417.0,464.0,619.0,774.0,999.0,1307.0,1843.0,2271.0,2503.0,2720.0,2787.0,2624.0,2400.0,2203.0,2094.0,1850.0,1709.0,1341.0
2020-01-10,0,1044.0,870.0,794.0,741.0,766.0,864.0,1063.0,1426.0,1582.0,1665.0,1695.0,1726.0,1927.0,2088.0,2269.0,2624.0,2466.0,2317.0,1694.0,1110.0,818.0,528.0,257.0,104.0
2020-01-11,0,140.0,329.0,716.0,1164.0,1671.0,1982.0,2260.0,2518.0,2963.0,3353.0,3585.0,3807.0,3939.0,3942.0,3609.0,3455.0,3490.0,3787.0,3411.0,3393.0,3323.0,3097.0,3130.0,3341.0
2020-01-12,1,3260.0,3210.0,2947.0,2852.0,2779.0,2750.0,2774.0,2465.0,1978.0,1573.0,1277.0,999.0,759.0,630.0,526.0,371.0,257.0,219.0,279.0,387.0,634.0,869.0,1082.0,1372.0
2020-01-13,0,1469.0,1348.0,1439.0,1432.0,1323.0,1302.0,1354.0,1438.0,1201.0,1115.0,1057.0,1055.0,1143.0,1269.0,1477.0,1560.0,1730.0,1979.0,2238.0,2530.0,2545.0,2570.0,2519.0,2907.0
2020-01-14,0,3356.0,3507.0,3572.0,3631.0,3607.0,3666.0,3085.0,3069.0,2781.0,2206.0,2165.0,2477.0,2642.0,2562.0,2225.0,2121.0,2189.0,2050.0,2314.0,2395.0,2707.0,2896.0,3129.0,3385.0
