date,holiday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016-01-01,1,1314.0,1267.0,1159.0,1160.0,1069.0,1013.0,881.0,752.0,578.0,487.0,329.0,209.0,152.0,115.0,119.0,82.0,59.0,94.0,114.0,149.0,192.0,321.0,718.0,932.0
2016-01-02,0,1049.0,1226.0,1601.0,1995.0,2225.0,2279.0,2484.0,2655.0,2988.0,2958.0,3025.0,3123.0,3205.0,3223.0,3195.0,3198.0,3200.0,3192.0,3185.0,3166.0,3118.0,3117.0,3028.0,3136.0
2016-01-03,1,3144.0,2772.0,3130.0,3128.0,3119.0,3091.0,3090.0,3122.0,3057.0,3064.0,3032.0,3069.0,3146.0,3142.0,3103.0,2969.0,2960.0,2974.0,2970.0,2932.0,2760.0,2808.0,2849.0,2903.0
2016-01-04,0,2896.0,2886.0,2886.0,2887.0,2899.0,2834.0,2828.0,2738.0,2818.0,2801.0,2809.0,2859.0,2855.0,2791.0,2700.0,2570.0,2454.0,2445.0,2478.0,2445.0,2484.0,2409.0,2338.0,2290.0
2016-01-05,0,2257.0,2255.0,2291.0,2296.0,2314.0,2250.0,2289.0,2347.0,2236.0,2174.0,2260.0,2358.0,2400.0,2476.0,2256.0,2036.0,1875.0,1819.0,1859.0,1793.0,1738.0,1660.0,1524.0,1451.0
2016-01-06,0,1367.0,1259.0,1169.0,1189.0,1184.0,1165.0,1214.0,1216.0,1132.0,1143.0,1171.0,1952.0,1220.0,1322.0,1344.0,1368.0,1452.0,1554.0,1645.0,1629.0,1689.0,1668.0,1702.0,1622.0
2016-01-07,0,1523.0,1281.0,1423.0,1500.0,1416.0,1526.0,1715.0,1730.0,1879.0,2009.0,2228.0,2415.0,2420.0,2338.0,2384.0,2518.0,2691.0,2859.0,2916.0,2710.0,2643.0,2725.0,2718.0,2749.0
2016-01-08,0,2875.0,2901.0,2864.0,2815.0,2740.0,2670.0,2305.0,2300.0,2166.0,2002.0,1980.0,1827.0,1665.0,1440.0,1214.0,934.0,707.0,515.0,369.0,262.0,211.0,150.0,161.0,282.0
2016-01-09,0,435.0,548.0,583.0,565.0,571.0,718.0,800.0,897.0,873.0,882.0,949.0,950.0,832.0,701.0,696.0,735.0,763.0,849.0,921.0,980.0,967.0,1005.0,1000.0,1266.0
2016-01-10,1,1476.0,1599.0,1708.0,1803.0,1923.0,2109.0,2306.0,2487.0,2581.0,2567.0,2541.0,2467.0,2281.0,1951.0,1670.0,1572.0,1493.0,1363.0,1120.0,927.0,791.0,788.0,708.0,701.0
